index,lon,lat,localtime(hr),H-parameter (from Hayne)
1116,118.39111,-12.453253,20.15,0.072247997
1117,118.139145,-12.459489,20.1333,0.072461002
1118,117.88769,-12.465485,20.1167,0.073247001
1119,117.63698,-12.471235,20.1,0.070950001
1120,117.38673,-12.476749,20.0833,0.078763001
1121,117.137215,-12.482022,20.0667,0.070254996
1122,116.88825,-12.48706,20.05,0.068026997
1123,116.63983,-12.491863,20.0333,0.073600002
1124,116.39213,-12.49643,20.0167,0.076116003
1125,116.14485,-12.500769,20,0.078075998
1126,115.898155,-12.504876,19.9833,0.074352004
1127,115.6521,-12.508755,19.9667,0.089117996
1128,115.4065,-12.512407,19.95,0.075773001
1129,115.16153,-12.515833,19.9333,0.073186003
1130,114.91708,-12.519035,19.9167,0.065196
1131,114.673035,-12.522017,19.9,0.073288999
1132,114.42965,-12.524775,19.8833,0.069760002
1133,114.1868,-12.527313,19.8833,0.076622002
1134,113.944275,-12.529635,19.8667,0.063212
1135,113.70246,-12.531738,19.85,0.066817001
1136,113.46095,-12.5336275,19.8333,0.075076997
1137,113.22005,-12.535302,19.8167,0.080591999
1138,112.97962,-12.536763,19.8,0.082787
1139,112.73959,-12.5380125,19.7833,0.081894003
1140,112.500114,-12.539052,19.7667,0.071732998
1141,112.261055,-12.539882,19.75,0.088151999
1142,112.0225,-12.5405035,19.7333,0.079655997
1143,111.78429,-12.540919,19.7167,0.074482001
1144,111.54661,-12.541128,19.7,0.068186
1145,111.309296,-12.541133,19.6833,0.093011998
1146,111.07248,-12.540935,19.6667,0.074569002
1147,110.83596,-12.540533,19.65,0.070990004
1148,110.60004,-12.539931,19.6333,0.065452002
1149,110.36442,-12.539128,19.6167,0.068787999
1150,110.12919,-12.538127,19.6,0.078354999
1151,109.894516,-12.536927,19.5833,0.075607002
1152,109.65997,-12.535529,19.5667,0.093299001
1153,109.426025,-12.5339365,19.55,0.075106002
1154,109.19246,-12.532148,19.55,0.080760002
1155,108.959206,-12.530166,19.5333,0.073890001
1156,108.72633,-12.527989,19.5167,0.069043003
1157,108.49387,-12.525621,19.5,0.086681999
1158,108.26179,-12.523062,19.4833,0.080136001
1159,108.03005,-12.520311,19.4667,0.067170002
1160,107.79858,-12.517371,19.45,0.083506003
1161,107.56756,-12.514242,19.4333,0.075378999
1162,107.33688,-12.510926,19.4167,0.078186996
1163,107.10648,-12.5074215,19.4,0.097360998
1164,106.87655,-12.503733,19.3833,0.080669999
1165,106.646805,-12.499856,19.3667,0.067846999
1166,106.41742,-12.495795,19.35,0.075515002
1167,106.18844,-12.491551,19.35,0.066721
1168,105.95971,-12.4871235,19.3333,0.066693999
1169,105.73136,-12.482514,19.3167,0.077549003
1170,105.503235,-12.477722,19.3,0.077659003
1171,105.27543,-12.472749,19.2833,0.075476997
1172,105.04795,-12.467596,19.2667,0.070165001
1173,104.82088,-12.462266,19.25,0.088192999
1174,104.59397,-12.456755,19.2333,0.073867999
1175,104.36736,-12.451065,19.2167,0.072945997
1176,104.14107,-12.445199,19.2,0.06927
1177,103.91505,-12.439156,19.1833,0.074657001
1178,103.68937,-12.432938,19.1833,0.062183999
1179,103.46381,-12.426539,19.1667,0.070984997
1180,103.23867,-12.419971,19.15,0.073893003
1181,103.01376,-12.413228,19.1333,0.076513
1182,102.78909,-12.40631,19.1167,0.073475003
1183,102.56479,-12.399222,19.1,0.076903999
1184,102.340515,-12.391954,19.0833,0.077861004
1185,102.11673,-12.384522,19.0667,0.088312
1186,101.893074,-12.376916,19.05,0.084578998
1187,101.66962,-12.369137,19.0333,0.089172997
1188,101.44657,-12.361194,19.0333,0.084692001
1189,101.22362,-12.353075,19.0167,0.080798998
1190,101.00095,-12.3447895,19,0.07643
1191,100.77856,-12.336337,18.9833,0.076098002
1192,100.5562,-12.327708,18.9667,0.071520001
1193,100.334335,-12.318924,18.95,0.077326
1194,100.11254,-12.309965,18.9333,0.072862998
1195,99.891014,-12.300842,18.9167,0.072586
1196,99.6697,-12.2915535,18.9167,0.068248004
1197,99.4486,-12.282099,18.9,0.075282
1198,99.227684,-12.272478,18.8833,0.070619002
1199,99.00703,-12.262695,18.8667,0.074464999
1200,98.786446,-12.252742,18.85,0.079433002
1201,98.566216,-12.242632,18.8333,0.078048997
1202,98.34608,-12.232354,18.8167,0.061765
1203,98.126114,-12.221912,18.8,0.073848002
1204,97.906425,-12.211311,18.7833,0.072384998
1205,97.68688,-12.200547,18.7833,0.083463997
1206,97.46754,-12.189621,18.7667,0.070674002
1207,97.24838,-12.1785345,18.75,0.071590997
1208,97.0293,-12.167282,18.7333,0.072099
1209,96.81054,-12.155876,18.7167,0.091606997
1210,96.59188,-12.144306,18.7,0.072382003
1211,96.37338,-12.132577,18.6833,0.073760003
1212,96.15513,-12.120691,18.6667,0.085424997
1213,95.93692,-12.108641,18.6667,0.084215999
1214,95.71891,-12.096433,18.65,0.078769997
1215,95.50114,-12.084071,18.6333,0.074305996
1216,95.283394,-12.071545,18.6167,0.079573996
1217,95.06587,-12.058865,18.6,0.070249997
1218,94.84849,-12.046026,18.5833,0.084049001
1219,94.63124,-12.03303,18.5667,0.077705003
1220,94.41415,-12.019877,18.5667,0.064245
1221,94.19722,-12.00657,18.55,0.065333001
1222,93.980354,-11.993101,18.5333,0.070566997
1223,93.76371,-11.979482,18.5167,0.068304002
1224,93.5471,-11.9657,18.5,0.072512001
1225,93.33072,-11.951771,18.4833,0.072860003
1226,93.114395,-11.937681,18.4667,0.077173002
1227,92.89818,-11.923434,18.45,0.069181003
1228,92.68212,-11.909037,18.45,0.065734997
1229,92.46619,-11.8944845,18.4333,0.081109002
1230,92.25037,-11.879778,18.4167,0.072701998
1231,92.03465,-11.864918,18.4,0.069467001
1232,91.818954,-11.8498955,18.3833,0.091426
1233,91.60351,-11.834731,18.3667,0.080536
1234,91.38818,-11.819414,18.35,0.076453
1235,91.172844,-11.803936,18.35,0.075924002
1236,90.95762,-11.788305,18.3333,0.083673
1237,90.74258,-11.772529,18.3167,0.071884997
1238,90.5275,-11.75659,18.3,0.073454
1239,90.31262,-11.740507,18.2833,0.075232998
1240,90.09777,-11.724267,18.2667,0.093364999
1241,89.88305,-11.707878,18.25,0.077858001
1242,89.66843,-11.691339,18.25,0.067928001
1243,89.45381,-11.674642,18.2333,0.069481999
1244,89.23935,-11.6578,18.2167,0.071768999
1245,89.024956,-11.640804,18.2,0.072885998
1246,88.810455,-11.623645,18.1833,0.071900003
1247,88.59625,-11.606352,18.1667,0.062740996
1248,88.38199,-11.588898,18.15,0.091706
1249,88.16785,-11.571297,18.15,0.082515001
1250,87.953804,-11.553548,18.1333,0.066434003
1251,87.73978,-11.535645,18.1167,0.073948003
1252,87.52576,-11.517588,18.1,0.075374998
1253,87.31191,-11.49939,18.0833,0.063222997
1254,87.09798,-11.4810295,18.0667,0.067786001
1255,86.88419,-11.462527,18.05,0.081918001
1256,86.670395,-11.44387,18.05,0.061857
1257,86.4567,-11.425067,18.0333,0.075089999
1258,86.243034,-11.406114,18.0167,0.057957999
1259,86.029335,-11.387003,18,0.074102998
1260,85.815796,-11.367754,17.9833,0.068622999
1261,85.60222,-11.348349,17.9667,0.084982999
1262,85.38863,-11.328791,17.95,0.073055997
1263,85.175186,-11.309091,17.95,0.072199002
1264,84.961624,-11.28923,17.9333,0.069953002
1265,84.74822,-11.269231,17.9167,0.068948999
1266,84.53476,-11.249076,17.9,0.074814998
1267,84.321335,-11.228772,17.8833,0.061340999
1268,84.10795,-11.208321,17.8667,0.085336998
1269,83.89454,-11.1877165,17.85,0.077010997
1270,83.681114,-11.16696,17.85,0.073395997
1271,83.46777,-11.146061,17.8333,0.078501999
1272,83.254395,-11.125009,17.8167,0.078956001
1273,83.04101,-11.103805,17.8,0.081602998
1274,82.82771,-11.082461,17.7833,0.086712003
1275,82.614296,-11.060955,17.7667,0.069879003
1276,82.400955,-11.039308,17.75,0.080085002
1277,82.18764,-11.017513,17.75,0.077372
1278,81.9742,-10.995559,17.7333,0.077789001
1279,81.7608,-10.973459,17.7167,0.080599003
1280,81.54737,-10.951207,17.7,0.069940001
1281,81.33398,-10.928812,17.6833,0.067411996
1282,81.12054,-10.906264,17.6667,0.086606003
1283,80.90706,-10.883564,17.6667,0.071911998
1284,80.69358,-10.860716,17.65,0.065228999
1285,80.480095,-10.837721,17.6333,0.070844002
1286,80.2665,-10.814567,17.6167,0.072095998
1287,80.05295,-10.79127,17.6,0.068136998
1288,79.83927,-10.767814,17.5833,0.073492996
1289,79.62563,-10.744215,17.5667,0.077128999
1290,79.4119,-10.720461,17.5667,0.065725997
1291,79.19814,-10.696556,17.55,0.071098
1292,78.98438,-10.672506,17.5333,0.067450002
1293,78.77062,-10.648311,17.5167,0.073507003
1294,78.55669,-10.62395,17.5,0.070524998
1295,78.34272,-10.599441,17.4833,0.070370004
1296,78.12868,-10.574778,17.4667,0.067548998
1297,77.91462,-10.549969,17.4667,0.070837997
1298,77.70059,-10.525019,17.45,0.079181999
1299,77.48635,-10.499899,17.4333,0.070588
1300,77.27205,-10.474628,17.4167,0.074207999
1301,77.05779,-10.44922,17.4,0.062465001
1302,76.84334,-10.423643,17.3833,0.069454998
1303,76.62883,-10.397917,17.3667,0.081747003
1304,76.414215,-10.372035,17.3667,0.066836998
1305,76.199684,-10.346019,17.35,0.067941003
1306,75.984955,-10.319838,17.3333,0.066559002
1307,75.77004,-10.29349,17.3167,0.059106998
1308,75.555145,-10.267002,17.3,0.062864996
1309,75.3401,-10.240354,17.2833,0.063619003
1310,75.125046,-10.213562,17.2667,0.060596999
1311,74.90988,-10.186615,17.2667,0.061735
1312,74.6945,-10.159498,17.25,0.068672001
1313,74.47909,-10.1322365,17.2333,0.058431
1314,74.263596,-10.104822,17.2167,0.073496997
1315,74.04787,-10.077238,17.2,0.064259999
1316,73.8322,-10.04952,17.1833,0.064006999
1317,73.616295,-10.02163,17.1667,0.07502
1318,73.400345,-9.993594,17.1667,0.072632
1319,73.18419,-9.965392,17.15,0.077762999
1320,72.96794,-9.9370365,17.1333,0.070165001
1321,72.751564,-9.9085245,17.1167,0.070846997
1322,72.53505,-9.879853,17.1,0.067766003
1323,72.318306,-9.851012,17.0833,0.068267003
1324,72.10166,-9.822045,17.0667,0.070669003
1325,71.88467,-9.792892,17.05,0.071418002
1326,71.66755,-9.763583,17.05,0.060874
1327,71.45036,-9.734126,17.0333,0.075436004
1328,71.232925,-9.704495,17.0167,0.064296998
1329,71.015335,-9.674705,17,0.075577997
1330,70.79772,-9.644773,16.9833,0.078957997
1331,70.57977,-9.614656,16.9667,0.067414999
1332,70.36181,-9.5844,16.95,0.072330996
1333,70.14362,-9.553974,16.95,0.069796003
1334,69.92516,-9.523372,16.9333,0.072488002
1335,69.70663,-9.492621,16.9167,0.070471004
1336,69.48779,-9.461692,16.9,0.074349999
1337,69.26894,-9.430622,16.8833,0.080283999
1338,69.04982,-9.399376,16.8667,0.070116997
1339,68.83038,-9.3679495,16.85,0.076852001
1340,68.61095,-9.336385,16.8333,0.074996002
1341,68.3913,-9.304653,16.8333,0.063754998
1342,68.17127,-9.27273,16.8167,0.070580997
1343,67.95116,-9.240659,16.8,0.081501
1344,67.73076,-9.208408,16.7833,0.074376002
1345,67.51025,-9.176006,16.7667,0.066122003
1346,67.28947,-9.143428,16.75,0.073066004
1347,67.06852,-9.11069,16.7333,0.061675999
1348,66.847244,-9.077767,16.7167,0.075603001
1349,66.62583,-9.044688,16.7,0.069597997
1350,66.40408,-9.011424,16.7,0.069893003
1351,66.18218,-8.978001,16.6833,0.070263997
1352,65.95995,-8.944394,16.6667,0.082076997
1353,65.73756,-8.910627,16.65,0.075257003
1354,65.514854,-8.876679,16.6333,0.058373999
1355,65.29191,-8.842559,16.6167,0.069064997
1356,65.06875,-8.808271,16.6,0.072365999
1357,64.84535,-8.773814,16.5833,0.059687998
1358,64.62153,-8.739156,16.5667,0.079056002
1359,64.39745,-8.704326,16.5667,0.070928998
1360,64.17318,-8.669331,16.55,0.068495996
1361,63.948643,-8.63416,16.5333,0.068425
1362,63.72375,-8.598801,16.5167,0.063621998
1363,63.498585,-8.563265,16.5,0.059852999
1364,63.27309,-8.527544,16.4833,0.058509
1365,63.047333,-8.491649,16.4667,0.066224001
1366,62.82123,-8.455565,16.45,0.064496003
1367,62.594894,-8.419312,16.4333,0.055119999
1368,62.368156,-8.382861,16.4167,0.068772003
1369,62.141167,-8.346238,16.4167,0.054777998
1370,61.91378,-8.309419,16.4,0.064557001
1371,61.68609,-8.272417,16.3833,0.060217001
1372,61.4581,-8.235234,16.3667,0.050166
1373,61.229664,-8.197848,16.35,0.058235999
1374,61.000908,-8.160277,16.3333,0.073386997
1375,60.771866,-8.122528,16.3167,0.062109999
1376,60.542385,-8.084576,16.3,0.065697998
1377,60.312603,-8.046442,16.2833,0.066655003
1378,60.082424,-8.008111,16.2667,0.04862
1379,59.851765,-7.9695687,16.25,0.038741
1380,59.6209,-7.9308615,16.2333,0.055232
1381,59.38957,-7.891946,16.2333,0.054696999
1382,59.15781,-7.852828,16.2167,0.055987999
1383,58.92567,-7.8135147,16.2,0.068402
1384,58.693027,-7.7739863,16.1833,0.072339997
1385,58.460087,-7.7342772,16.1667,0.066326
1386,58.22672,-7.694365,16.15,0.066800997
1387,57.992844,-7.654237,16.1333,0.074326001
1388,57.758644,-7.6139226,16.1167,0.073090002
1389,57.524014,-7.5734057,16.1,0.072677001
1390,57.2887,-7.5326414,16.0833,0.072309002
1391,57.053226,-7.4917192,16.0667,0.072576001
1392,56.817,-7.4505386,16.05,0.068938002
1393,56.580494,-7.4091797,16.0333,0.069586001
1394,56.34347,-7.3676023,16.0167,0.070945002
1395,56.106014,-7.325819,16,0.077165
1396,55.868046,-7.2838187,15.9833,0.057094
